"","Cls","Atr","Num","Nom","Spl","Dim","NumRate","NomRate","SymMin","SymMax","SymMean","SymSd","SymSum","ClMin","ClMax","ClMean","ClSd","Sks","SksP","Kts","KtsP","AbsC","CanC","Fnd","ClEnt","NClEnt","AtrEnt","NAtrEnt","JEnt","MutInf","EAttr","NoiSig","Nb","Lda","Nn","auc","accuracy"
"snow",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0593333333333333,0.940666666666667,0.5,0.623196776485744,0,8.62828386955629,3,88.2257161351097,0.0210093415651152,0.471653356671959,1,0.225129211776647,0.32479279738941,0.0812780357765567,0.117259419148034,0.305938351431559,0.000468896121644899,480.125983953307,172.339108652533,0.0595555555555556,0.942666666666667,0.909555555555556,"RF","SVM"
"tundra",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.00733333333333333,0.992666666666667,0.5,0.696735881729145,0,6.64123694211008,3,55.2071873292292,0.0217598189512108,0.323913935751612,1,0.0433520959787881,0.0625438538807399,0.0812780357765567,0.117259419148034,0.124509034851178,0.000121096904166806,357.995080692339,670.181780705143,0.00733333333333333,0.994,0.986888888888889,"SVM","SVM"
"ice",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.022,0.978,0.5,0.675994082814339,0,7.81070947146713,3,70.9496319856252,0.0222192101815532,0.387984639449084,1,0.105723887714205,0.152527328508786,0.0812780357765567,0.117259419148034,0.186761925278868,0.000239998211893919,440.519480874034,337.661005576501,0.022,0.974666666666667,0.925555555555556,"RF","SVM"
"head",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0157777777777778,0.984222222222222,0.5,0.684793633869105,0,7.59427931801469,3,67.0008783723025,0.0234644683813569,0.343509410851445,1,0.0811170596371262,0.117027179669976,0.0812780357765567,0.117259419148034,0.162245677977855,0.000149417435827478,542.888848198321,542.966206664145,0.0157777777777778,0.987333333333333,0.978222222222222,"RF","SVM"
"black",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.00755555555555556,0.992444444444444,0.5,0.696421612048618,0,6.67904515721984,3,55.6784633944871,0.0238393614234946,0.386889160549459,1,0.0444393964393441,0.0641124968631405,0.0812780357765567,0.117259419148034,0.125574601967403,0.000142830248497553,311.134349388922,568.053380719627,0.00755555555555556,0.994222222222222,0.992444444444444,"SVM","SVM"
"reflection",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0122222222222222,0.987777777777778,0.5,0.689821948757543,0,7.428256803229,3,64.091716554929,0.0237235167004468,0.330249022775476,1,0.0659799962435965,0.0951890133785091,0.0812780357765567,0.117259419148034,0.147137274362388,0.00012075765776498,546.383537613885,672.067342319119,0.0122222222222222,0.990222222222222,0.981333333333333,"RF","SVM"
"ground",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0133333333333333,0.986666666666667,0.5,0.688250600354906,0,7.41879116396871,3,64.5915942040546,0.0228999824561814,0.388544104810504,1,0.0708105549081957,0.10215803640865,0.0812780357765567,0.117259419148034,0.151899975460153,0.000188615224598772,375.423325761884,429.919804853791,0.0133333333333333,0.981333333333333,0.976888888888889,"RF","SVM"
"forest",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0157777777777778,0.984222222222222,0.5,0.684793633869105,0,7.53464949528362,3,66.3313009749975,0.0231153383363202,0.391001771659694,1,0.0811170596371262,0.117027179669976,0.0812780357765567,0.117259419148034,0.162203326676548,0.000191768737134355,422.99417960027,422.833608079781,0.0157777777777778,0.984444444444444,0.981333333333333,"RF","SVM"
"river",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0106666666666667,0.989333333333333,0.5,0.692021836521235,0,7.14409050328866,3,60.6529903930509,0.0239185538739739,0.340416963052755,1,0.0590429788455094,0.0851810127797283,0.0812780357765567,0.117259419148034,0.140192064783996,0.000128949838069594,457.875556335664,629.307389239922,0.0106666666666667,0.99,0.962,"RF","SVM"
"field",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.044,0.956,0.5,0.644881384442131,0,8.8438148993004,3,91.2920218624512,0.0210370408441982,0.522698008343923,1,0.180454370212596,0.260340625012453,0.0812780357765567,0.117259419148034,0.261331083617789,0.000401322371363022,449.649416751212,201.525554457655,0.0442222222222222,0.96,0.949555555555556,"RF","SVM"
